Day Index,Sessions,Users,Bounce Rate,LOF_Score,IsolationForest_Score,Z_Score
1/1/2022,1176,1082,0.5349,-1,-1,0
2/1/2022,1408,1303,0.5277000000000001,1,-1,0
3/1/2022,1711,1568,0.5038,1,1,0
4/1/2022,2470,2251,0.45380000000000004,1,1,0
5/1/2022,2554,2312,0.4742,1,1,0
6/1/2022,2209,2044,0.4744,1,1,0
7/1/2022,2167,1980,0.4924,1,1,0
8/1/2022,1587,1464,0.5274,1,1,0
9/1/2022,1758,1609,0.5432,1,1,0
10/1/2022,2719,2465,0.5002,1,1,0
11/1/2022,2782,2511,0.4763,1,1,0
12/1/2022,2787,2516,0.4855,1,1,0
13/01/2022,2713,2445,0.4611,1,1,0
14/01/2022,2289,2072,0.4622,1,1,0
15/01/2022,1640,1486,0.528,1,1,0
16/01/2022,1565,1444,0.5291,1,1,0
17/01/2022,2191,1980,0.5249,1,1,0
18/01/2022,2745,2497,0.48200000000000004,1,1,0
19/01/2022,2727,2481,0.491,1,1,0
20/01/2022,3118,2821,0.48460000000000003,1,1,0
21/01/2022,2355,2132,0.47259999999999996,1,1,0
22/01/2022,1685,1535,0.5234000000000001,1,1,0
23/01/2022,1785,1641,0.5731,1,-1,0
24/01/2022,2769,2506,0.47600000000000003,1,1,0
25/01/2022,3174,2904,0.4531,1,1,0
26/01/2022,2921,2676,0.4796,1,1,0
27/01/2022,3165,2882,0.4664,1,1,0
28/01/2022,2719,2448,0.488,1,1,0
29/01/2022,1761,1616,0.5468,1,1,0
30/01/2022,1749,1586,0.5134000000000001,1,1,0
31/01/2022,2703,2428,0.47909999999999997,1,1,0
1/2/2022,2880,2623,0.4806,1,1,0
2/2/2022,3123,2844,0.4758,1,1,0
3/2/2022,2980,2692,0.4711,1,1,0
4/2/2022,2893,2625,0.48700000000000004,1,1,0
5/2/2022,1790,1636,0.5458,1,1,0
6/2/2022,1963,1794,0.5385,1,1,0
7/2/2022,3016,2702,0.4768,1,1,0
8/2/2022,3303,2968,0.5062,1,1,0
9/2/2022,3549,3140,0.47840000000000005,1,1,0
10/2/2022,3247,2897,0.4832,1,1,0
11/2/2022,3026,2726,0.48479999999999995,1,1,0
12/2/2022,1707,1540,0.5735,1,-1,0
13/02/2022,1949,1749,0.55,1,1,0
14/02/2022,2734,2484,0.45899999999999996,1,1,0
15/02/2022,3060,2789,0.47159999999999996,1,1,0
16/02/2022,3513,3206,0.4671,1,1,0
17/02/2022,3005,2761,0.45289999999999997,1,1,0
18/02/2022,2367,2140,0.47490000000000004,1,1,0
19/02/2022,1488,1363,0.5429999999999999,1,-1,0
20/02/2022,1533,1393,0.5395,1,1,0
21/02/2022,2129,1953,0.5209,1,1,0
22/02/2022,2785,2520,0.4704,1,1,0
23/02/2022,2613,2385,0.46799999999999997,1,1,0
24/02/2022,2539,2269,0.4573,1,1,0
25/02/2022,2283,2043,0.4639,1,1,0
26/02/2022,1552,1416,0.5257999999999999,1,1,0
27/02/2022,1602,1444,0.5169,1,1,0
28/02/2022,2415,2188,0.45840000000000003,1,1,0
1/3/2022,2710,2409,0.4841,1,1,0
2/3/2022,2897,2601,0.4746,1,1,0
3/3/2022,2775,2491,0.44939999999999997,1,1,0
4/3/2022,2229,2031,0.44770000000000004,1,1,0
5/3/2022,1711,1533,0.502,1,1,0
6/3/2022,1687,1494,0.4855,1,1,0
7/3/2022,2779,2499,0.4851,1,1,0
8/3/2022,3020,2668,0.4407,1,1,0
9/3/2022,3222,2824,0.4631,1,1,0
10/3/2022,2895,2595,0.4677,1,1,0
11/3/2022,2060,1847,0.5102,1,1,0
12/3/2022,1412,1284,0.5149,1,1,0
13/03/2022,1580,1426,0.4949,1,1,0
14/03/2022,2671,2393,0.46090000000000003,1,1,0
15/03/2022,2598,2345,0.4446,1,1,0
16/03/2022,2867,2574,0.4409,1,1,0
17/03/2022,2907,2617,0.42450000000000004,1,1,0
18/03/2022,2392,2124,0.46240000000000003,1,1,0
19/03/2022,1625,1482,0.4874,1,1,0
20/03/2022,1678,1532,0.5167,1,1,0
21/03/2022,3006,2660,0.45740000000000003,1,1,0
22/03/2022,3001,2726,0.4475,1,1,0
23/03/2022,3209,2848,0.46340000000000003,1,1,0
24/03/2022,3778,3401,0.4105,-1,1,0
25/03/2022,2793,2507,0.4232,1,1,0
26/03/2022,1626,1479,0.4877,1,1,0
27/03/2022,1929,1754,0.5111,1,1,0
28/03/2022,2987,2654,0.4617,1,1,0
29/03/2022,2835,2545,0.4339,1,1,0
30/03/2022,2834,2546,0.42979999999999996,1,1,0
31/03/2022,3027,2698,0.4242,1,1,0
1/4/2022,2393,2164,0.45049999999999996,1,1,0
2/4/2022,1558,1416,0.5115999999999999,1,1,0
3/4/2022,1732,1564,0.5017,1,1,0
4/4/2022,3079,2760,0.4511,1,1,0
5/4/2022,3020,2676,0.4454,1,1,0
6/4/2022,7139,6529,0.3807,-1,-1,1
7/4/2022,5521,4881,0.4573,-1,-1,1
8/4/2022,3678,3262,0.45840000000000003,1,1,0
9/4/2022,2519,2262,0.5252,1,1,0
10/4/2022,2327,2110,0.5127,1,1,0
11/4/2022,3526,3146,0.4711,1,1,0
12/4/2022,3433,3047,0.4465,1,1,0
13/04/2022,3225,2920,0.4561,1,1,0
14/04/2022,3194,2876,0.4534,1,1,0
15/04/2022,2723,2452,0.48109999999999997,1,1,0
16/04/2022,1856,1684,0.5205,1,1,0
17/04/2022,1697,1558,0.541,1,1,0
18/04/2022,3143,2829,0.4658,1,1,0
19/04/2022,3550,3147,0.467,1,1,0
20/04/2022,3543,3131,0.4764,1,1,0
21/04/2022,3559,3085,0.4335,1,1,0
22/04/2022,2794,2497,0.4689,1,1,0
23/04/2022,1771,1615,0.5172,1,1,0
24/04/2022,2009,1859,0.5286,1,1,0
25/04/2022,3382,3023,0.461,1,1,0
26/04/2022,3402,3068,0.45409999999999995,1,1,0
27/04/2022,3508,3151,0.46009999999999995,1,1,0
28/04/2022,3403,3056,0.44549999999999995,1,1,0
29/04/2022,2917,2635,0.44020000000000004,1,1,0
30/04/2022,1871,1696,0.5045000000000001,1,1,0
1/5/2022,1742,1584,0.5218,1,1,0
2/5/2022,3016,2655,0.44789999999999996,1,1,0
3/5/2022,3225,2866,0.45049999999999996,1,1,0
4/5/2022,3227,2878,0.46140000000000003,1,1,0
5/5/2022,3385,3019,0.4508,1,1,0
6/5/2022,4231,3940,0.6445000000000001,-1,-1,1
7/5/2022,3390,3167,0.7398,1,-1,1
8/5/2022,2225,1993,0.5465,1,1,0
9/5/2022,3293,2899,0.4637,1,1,0
10/5/2022,3632,3263,0.4648,1,1,0
11/5/2022,4193,3791,0.5175,-1,-1,0
12/5/2022,4045,3643,0.5412,-1,-1,0
13/05/2022,3353,3079,0.5395,1,-1,0
14/05/2022,2719,2532,0.6819,1,-1,1
15/05/2022,2670,2491,0.6333,1,-1,1
16/05/2022,3329,2970,0.4902,1,1,0
17/05/2022,3372,2995,0.4692,1,1,0
18/05/2022,3210,2824,0.4648,1,1,0
19/05/2022,3645,3238,0.456,1,1,0
20/05/2022,2861,2576,0.46240000000000003,1,1,0
21/05/2022,2027,1825,0.5713,1,-1,0
22/05/2022,2124,1945,0.5367000000000001,1,1,0
23/05/2022,3366,2942,0.4765,1,1,0
24/05/2022,3377,3017,0.4507,1,1,0
25/05/2022,3550,3139,0.4546,1,1,0
26/05/2022,3336,3018,0.46520000000000006,1,1,0
27/05/2022,2729,2465,0.4646,1,1,0
28/05/2022,1777,1632,0.5329,1,1,0
29/05/2022,1910,1751,0.5398,1,1,0
30/05/2022,2476,2271,0.5372,1,1,0
31/05/2022,3194,2865,0.4596,1,1,0
1/6/2022,3283,2954,0.4612,1,1,0
2/6/2022,3171,2865,0.45159999999999995,1,1,0
3/6/2022,2941,2624,0.4543,1,1,0
4/6/2022,1846,1670,0.5329999999999999,1,1,0
5/6/2022,1888,1710,0.5286,1,1,0
6/6/2022,3319,2957,0.44380000000000003,1,1,0
7/6/2022,3791,3408,0.4869,-1,-1,0
8/6/2022,3631,3224,0.4635,1,1,0
9/6/2022,3932,3394,0.4413,-1,1,0
10/6/2022,3100,2665,0.4335,-1,1,0
11/6/2022,1736,1585,0.5253,1,1,0
12/6/2022,1851,1675,0.48729999999999996,1,1,0
13/06/2022,3197,2842,0.4539,1,1,0
14/06/2022,3194,2873,0.4364,1,1,0
15/06/2022,3339,2998,0.4328,1,1,0
16/06/2022,3270,2912,0.43329999999999996,1,1,0
17/06/2022,2836,2563,0.45130000000000003,1,1,0
18/06/2022,1684,1543,0.5232,1,1,0
19/06/2022,1889,1716,0.5204,1,1,0
20/06/2022,2595,2344,0.5079,1,1,0
21/06/2022,3204,2880,0.4604,1,1,0
22/06/2022,3196,2845,0.4299,1,1,0
23/06/2022,3222,2876,0.43079999999999996,1,1,0
24/06/2022,2791,2501,0.4608,1,1,0
25/06/2022,1707,1551,0.519,1,1,0
26/06/2022,1838,1658,0.5223,1,1,0
27/06/2022,3089,2780,0.4387,1,1,0
28/06/2022,3186,2831,0.4401,1,1,0
29/06/2022,3005,2728,0.4446,1,1,0
30/06/2022,3018,2696,0.4361,1,1,0
1/7/2022,2530,2291,0.45890000000000003,1,1,0
2/7/2022,1858,1711,0.5145000000000001,1,1,0
3/7/2022,1970,1807,0.5325,1,1,0
4/7/2022,2268,2065,0.5489,1,-1,0
5/7/2022,2528,2319,0.5182,1,1,0
6/7/2022,3097,2785,0.473,1,1,0
7/7/2022,2938,2634,0.42719999999999997,1,1,0
8/7/2022,2481,2254,0.424,1,1,0
9/7/2022,1624,1484,0.49939999999999996,1,1,0
10/7/2022,1738,1620,0.5121,1,1,0
11/7/2022,2992,2693,0.43979999999999997,1,1,0
12/7/2022,2998,2700,0.4276,1,1,0
13/07/2022,3023,2743,0.4476,1,1,0
14/07/2022,2932,2609,0.41979999999999995,1,1,0
15/07/2022,2625,2397,0.4194,1,1,0
16/07/2022,1650,1520,0.5024000000000001,1,1,0
17/07/2022,1816,1631,0.47740000000000005,1,1,0
