Day Index,Sessions
1/1/2022,"1,176"
2/1/2022,"1,408"
3/1/2022,"1,711"
4/1/2022,"2,470"
5/1/2022,"2,554"
6/1/2022,"2,209"
7/1/2022,"2,167"
8/1/2022,"1,587"
9/1/2022,"1,758"
10/1/2022,"2,719"
11/1/2022,"2,782"
12/1/2022,"2,787"
13/01/2022,"2,713"
14/01/2022,"2,289"
15/01/2022,"1,640"
16/01/2022,"1,565"
17/01/2022,"2,191"
18/01/2022,"2,745"
19/01/2022,"2,727"
20/01/2022,"3,118"
21/01/2022,"2,355"
22/01/2022,"1,685"
23/01/2022,"1,785"
24/01/2022,"2,769"
25/01/2022,"3,174"
26/01/2022,"2,921"
27/01/2022,"3,165"
28/01/2022,"2,719"
29/01/2022,"1,761"
30/01/2022,"1,749"
31/01/2022,"2,703"
1/2/2022,"2,880"
2/2/2022,"3,123"
3/2/2022,"2,980"
4/2/2022,"2,893"
5/2/2022,"1,790"
6/2/2022,"1,963"
7/2/2022,"3,016"
8/2/2022,"3,303"
9/2/2022,"3,549"
10/2/2022,"3,247"
11/2/2022,"3,026"
12/2/2022,"1,707"
13/02/2022,"1,949"
14/02/2022,"2,734"
15/02/2022,"3,060"
16/02/2022,"3,513"
17/02/2022,"3,005"
18/02/2022,"2,367"
19/02/2022,"1,488"
20/02/2022,"1,533"
21/02/2022,"2,129"
22/02/2022,"2,785"
23/02/2022,"2,613"
24/02/2022,"2,539"
25/02/2022,"2,283"
26/02/2022,"1,552"
27/02/2022,"1,602"
28/02/2022,"2,415"
1/3/2022,"2,710"
2/3/2022,"2,897"
3/3/2022,"2,775"
4/3/2022,"2,229"
5/3/2022,"1,711"
6/3/2022,"1,687"
7/3/2022,"2,779"
8/3/2022,"3,020"
9/3/2022,"3,222"
10/3/2022,"2,895"
11/3/2022,"2,060"
12/3/2022,"1,412"
13/03/2022,"1,580"
14/03/2022,"2,671"
15/03/2022,"2,598"
16/03/2022,"2,867"
17/03/2022,"2,907"
18/03/2022,"2,392"
19/03/2022,"1,625"
20/03/2022,"1,678"
21/03/2022,"3,006"
22/03/2022,"3,001"
23/03/2022,"3,209"
24/03/2022,"3,778"
25/03/2022,"2,793"
26/03/2022,"1,626"
27/03/2022,"1,929"
28/03/2022,"2,987"
29/03/2022,"2,835"
30/03/2022,"2,834"
