Day Index,Users
1/1/2022,"1,082"
2/1/2022,"1,303"
3/1/2022,"1,568"
4/1/2022,"2,251"
5/1/2022,"2,312"
6/1/2022,"2,044"
7/1/2022,"1,980"
8/1/2022,"1,464"
9/1/2022,"1,609"
10/1/2022,"2,465"
11/1/2022,"2,511"
12/1/2022,"2,516"
13/01/2022,"2,445"
14/01/2022,"2,072"
15/01/2022,"1,486"
16/01/2022,"1,444"
17/01/2022,"1,980"
18/01/2022,"2,497"
19/01/2022,"2,481"
20/01/2022,"2,821"
21/01/2022,"2,132"
22/01/2022,"1,535"
23/01/2022,"1,641"
24/01/2022,"2,506"
25/01/2022,"2,904"
26/01/2022,"2,676"
27/01/2022,"2,882"
28/01/2022,"2,448"
29/01/2022,"1,616"
30/01/2022,"1,586"
31/01/2022,"2,428"
1/2/2022,"2,623"
2/2/2022,"2,844"
3/2/2022,"2,692"
4/2/2022,"2,625"
5/2/2022,"1,636"
6/2/2022,"1,794"
7/2/2022,"2,702"
8/2/2022,"2,968"
9/2/2022,"3,140"
10/2/2022,"2,897"
11/2/2022,"2,726"
12/2/2022,"1,540"
13/02/2022,"1,749"
14/02/2022,"2,484"
15/02/2022,"2,789"
16/02/2022,"3,206"
17/02/2022,"2,761"
18/02/2022,"2,140"
19/02/2022,"1,363"
20/02/2022,"1,393"
21/02/2022,"1,953"
22/02/2022,"2,520"
23/02/2022,"2,385"
24/02/2022,"2,269"
25/02/2022,"2,043"
26/02/2022,"1,416"
27/02/2022,"1,444"
28/02/2022,"2,188"
1/3/2022,"2,409"
2/3/2022,"2,601"
3/3/2022,"2,491"
4/3/2022,"2,031"
5/3/2022,"1,533"
6/3/2022,"1,494"
7/3/2022,"2,499"
8/3/2022,"2,668"
9/3/2022,"2,824"
10/3/2022,"2,595"
11/3/2022,"1,847"
12/3/2022,"1,284"
13/03/2022,"1,426"
14/03/2022,"2,393"
15/03/2022,"2,345"
16/03/2022,"2,574"
17/03/2022,"2,617"
18/03/2022,"2,124"
19/03/2022,"1,482"
20/03/2022,"1,532"
21/03/2022,"2,660"
22/03/2022,"2,726"
23/03/2022,"2,848"
24/03/2022,"3,401"
25/03/2022,"2,507"
26/03/2022,"1,479"
27/03/2022,"1,754"
28/03/2022,"2,654"
29/03/2022,"2,545"
30/03/2022,"2,546"
31/03/2022,"2,698"
1/4/2022,"2,164"
2/4/2022,"1,416"
3/4/2022,"1,564"
4/4/2022,"2,760"
5/4/2022,"2,676"
6/4/2022,"6,529"
7/4/2022,"4,881"
8/4/2022,"3,262"
9/4/2022,"2,262"
10/4/2022,"2,110"
11/4/2022,"3,146"
12/4/2022,"3,047"
13/04/2022,"2,920"
14/04/2022,"2,876"
15/04/2022,"2,452"
16/04/2022,"1,684"
17/04/2022,"1,558"
18/04/2022,"2,829"
19/04/2022,"3,147"
