name,link,date,tags,author
У мережі поширили відео знущання з українських військовополонених та імітації розстрілу. Лубінець відрегував,https://hromadske.ua/viyna/225230-u-merezi-poshyryly-video-znushchannia-z-ukrayinskykh-viyskovopolonenykh-ta-imitatsiyi-rozstrilu-lubinets-vidrehuvav,2024-06-02 22:11:00+03:00,"['полон', 'військовополонені', 'омбудсмен', 'російсько-українська війна', 'Дмитро Лубінець']",Анетт Абрамова
У Парижі біля Ейфелевої вежі виявили труни із написом «Французькі солдати в Україні». Підозрюваних затримали,https://hromadske.ua/svit/225229-u-paryzi-bilia-eyfelevoyi-vezi-vyiavyly-truny-iz-napysom-frantsuzki-soldaty-v-ukrayini-pidozriuvanykh-zatrymaly,2024-06-02 21:25:00+03:00,"['Париж', 'Франція', 'Ейфелева вежа']",Анетт Абрамова
Саудівська Аравія не братиме участі у Саміті миру — ЗМІ,https://hromadske.ua/polityka/225228-saudivska-araviia-ne-bratyme-uchasti-u-samiti-myru-zmi,2024-06-02 20:50:00+03:00,"['Саудівська Аравія', 'Швейцарія', 'саміт']",Анетт Абрамова
"Трамп пообіцяв розсекретити файли щодо теракту 11 вересня та вбивства Кеннеді, якщо його оберуть президентом США",https://hromadske.ua/svit/225227-tramp-poobitsiav-rozsekretyty-fayly-shchodo-teraktu-11-veresnia-ta-vbyvstva-kennedi-iakshcho-yoho-oberut-prezydentom-ssha,2024-06-02 20:04:00+03:00,"['США', 'президентські вибори', 'Дональд Трамп', 'Джеффрі Епштейн', 'джон кеннеді', '11 вересня 2001']",Анетт Абрамова
"Сухопутні війська мають дані, що сюжети про конфлікти нібито з ТЦК знімають на окупованих територіях",https://hromadske.ua/suspilstvo/225226-sukhoputni-viyska-maiut-dani-shcho-siuzety-pro-konflikty-nibyto-z-ttsk-znimaiut-na-okupovanykh-terytoriiakh,2024-06-02 19:32:00+03:00,"['військкомат', 'російсько-українська війна', 'ІПСО', 'сухопутні війська']",Анетт Абрамова
Ліміти на електроенергію будуть діяти протягом всієї доби 3 червня,https://hromadske.ua/suspilstvo/225225-limity-na-elektroenerhiiu-budut-diiaty-protiahom-vsiyeyi-doby-3-chervnia,2024-06-02 19:03:00+03:00,"['Укренерго', 'електроенергія', 'енергопостачання']",Анетт Абрамова
"КНДР припинить надсилати повітряні кулі зі сміттям у Південну Корею, проте Сеул вже пообіцяв відповідь",https://hromadske.ua/svit/225223-kndr-prypynyt-nadsylaty-povitriani-kuli-zi-smittiam-u-pivdennu-koreiu-prote-seul-vze-poobitsiav-vidpovid,2024-06-02 18:40:00+03:00,"['КНДР', 'Північна Корея', 'Південня Корея']",Анетт Абрамова
У Слов’янську чоловік ходив по місту з гранатою,https://hromadske.ua/suspilstvo/225220-u-sloviansku-cholovik-khodyv-mistom-z-hranatoiu,2024-06-02 18:00:00+03:00,"['поліція', ""Слов'янськ"", 'Донецька область', 'затримання', 'граната']",Маркіян Климковецький
"Ультраправі партії Ізраїлю заявили, що повалять уряд, якщо Нетаньягу підтримає нову угоду про припинення вогню",https://hromadske.ua/svit/225222-ultrapravi-partiyi-izrayiliu-zaiavyly-shcho-povaliat-uriad-iakshcho-netaniahu-pidtrymaye-novu-uhodu-pro-prypynennia-vohniu,2024-06-02 17:52:00+03:00,"['Ізраїль', 'Беньямін Нетаньягу', 'угода']",Анетт Абрамова
В Ісландії обрали новою президенткою бізнесвумен,https://hromadske.ua/svit/225218-v-islandiyi-obraly-novoiu-prezydentkoiu-biznesvumen,2024-06-02 17:25:00+03:00,"['вибори', 'президентські вибори', 'Ісландія', 'вибори президента']",Маркіян Климковецький
ВМС заперечили пошкодження своїх кораблів унаслідок російської атаки,https://hromadske.ua/viyna/225221-vms-zaperechyly-poshkodzennia-svoyikh-korabliv-unaslidok-rosiyskoyi-ataky,2024-06-02 17:00:00+03:00,"['ВМС', 'ВМС України', 'кораблі', 'порти']",Маркіян Климковецький
"У Празі напали на волонтерів, які збирали пожертви для України",https://hromadske.ua/svit/225219-u-prazi-napaly-na-volonteriv-iaki-zbyraly-pozertvy-dlia-ukrayiny,2024-06-02 16:19:00+03:00,"['волонтери', 'Чехія', 'напад', 'Прага']",Маркіян Климковецький
"Трамп назвав «ганебним» суд присяжних, який визнав його винним у приховуванні грошей",https://hromadske.ua/viyna/225067-trampa-vyznaly-vynnym-u-spravi-pro-prykhovuvannia-hroshey-yomu-zahrozuye-tiurma,2024-05-31 07:28:00+03:00,"['США', 'Дональд Трамп', 'президент сша', 'вирок', 'суд присяжних']",Маркіян Климковецький
По Києву завдали ракетного удару,https://hromadske.ua/viyna/225065-po-kyyevu-zavdaly-raketnoho-udaru,2024-05-31 07:15:00+03:00,"['обстріли', 'ракети', 'Київ', 'ракетний обстріл', 'російсько-українська війна', 'ракетні удари', 'ракетний удар', 'ракетні обстріли']",Маркіян Климковецький
"Майже половина угорців проти того, аби ЄС у будь-який спосіб допомагав Україні — опитування",https://hromadske.ua/svit/225063-mayze-polovyna-uhortsiv-proty-toho-aby-yes-bud-iakym-chynom-dopomahav-ukrayini-opytuvannia,2024-05-31 01:12:00+03:00,"['ЄС', 'Угорщина', 'дослідження', 'опитування', 'допомога']",Роман Мельник
"Окупанти вдарили по житловому будинку в Харкові: одна людина загинула, 12 поранених (ДОПОВНЕНО)",https://hromadske.ua/viyna/225064-okupanty-zavdaly-udariv-po-kharkovu-poraneni-8-liudey,2024-05-31 00:51:00+03:00,"['поранені', 'обстріл', 'Харків', 'удар', 'російсько-українська війна']",Роман Мельник
Суд визнав Трампа винним у підробці документів щодо виплат порноакторці Стормі Деніелс,https://hromadske.ua/svit/225062-sud-vyznav-trampa-vynnym-u-pidrobky-dokumentiv,2024-05-31 00:20:00+03:00,"['суд', 'Дональд Трамп', 'фінансові махінації', 'виплати']",Роман Мельник
"У Ватикані висловилися проти ударів по території рф, бо це «неконтрольована ескалація»",https://hromadske.ua/svit/225061-u-vatykani-vyslovylysia-proty-udariv-po-terytoriyi-rf-bo-tse-nekontrolyovana-eskalatsiia,2024-05-31 00:02:00+03:00,"['зброя', 'Ватикан', 'росія', 'удар', 'російсько-українська війна']",Роман Мельник
Зі столиці Шотландії виселили всіх безхатьків. Усе через концерт Тейлор Свіфт,https://hromadske.ua/svit/225060-zi-stolytsi-shotlandiyi-vyselyly-usikh-bezkhatkiv-use-cherez-kontsert-teylor-svift,2024-05-30 23:47:00+03:00,"['Шотландія', 'концерт', 'Тейлор Свіфт', 'безхатьки', 'безхатченки']",Роман Мельник
Байден таємно дозволив Україні бити американською зброєю по рф,https://hromadske.ua/viyna/225059-bayden-tayemno-dozvolyv-ukrayini-byty-amerykanskoiu-zbroyeiu-po-rf,2024-05-30 22:42:00+03:00,"['США', 'Харківська область', 'Джо Байден', 'російсько-українська війна', 'ракетні удари', 'авіудари']",Роман Мельник
Загинула журналістка FREEDOM Анастасія Волкова,https://hromadske.ua/viyna/225058-zahynula-zurnalistka-freedom-anastasiia-volkova,2024-05-30 22:18:00+03:00,"[""Слов'янськ"", 'Донецька область', 'журналістка', 'російсько-українська війна', 'Донеччина']",Роман Мельник
"Уражені цілі в Криму, допомога від Німеччини та майбутня угода зі США: головне за 30 травня",https://hromadske.ua/suspilstvo/225057-urazeni-tsili-v-krymu-dopomoha-vid-nimechchyny-ta-maybutnia-uhoda-zi-ssha-holovne-za-30-travnia,2024-05-30 22:10:00+03:00,"['російсько-українська війна', 'головне за день']",Роман Мельник
У росії заявили про пожежу на дачі путіна на Алтаї. Вона майже повністю згоріла,https://hromadske.ua/svit/225056-u-rf-zaiavyly-pro-pozezu-na-dachi-putina-na-altayi-vona-mayze-povnistiu-zhorila,2024-05-30 21:24:00+03:00,"['пожежа', 'володимир путін', 'росія', 'алтай', 'маєток']",Роман Мельник
У Генштабі підтвердили ураження поромної переправи в Керчі: ударили ATACMS,https://hromadske.ua/viyna/225055-u-henshtabi-pidtverdyly-urazennia-poromnoyi-perepravy-u-kerchi-vdaryly-atacms,2024-05-30 20:41:00+03:00,"['Крим', 'Керч', 'анексований Крим', 'російсько-українська війна']",Роман Мельник
Уночі росія вчергове атакувала Україну «шахедами». Майже всі з них збили,https://hromadske.ua/viyna/224903-unochi-rosiia-vcherhove-atakuvala-ukrayinu-shakhedamy-mayze-vsi-z-nykh-zbyly,2024-05-29 07:20:00+03:00,"['обстріли', 'дрони', 'російсько-українська війна', 'Повітряні Сили ЗСУ', 'бпла', 'Shahed']",Юстина Лісова
У Карпатах чайна відмовила релігійним людям та ЛГБТ у працевлаштуванні. Туди навідався інспектор Держпраці,https://hromadske.ua/suspilstvo/224900-u-karpatakh-chayna-vidmovyla-relihiynym-liudiam-ta-lhbt-u-pratsevlashtuvanni-tudy-navidavsia-inspektor-derzpratsi,2024-05-29 01:04:00+03:00,"['Закарпаття', 'ЛГБТ', 'працевлаштування', 'дискримінація']",Ярослав Герасименко
Зеленського перед самітом НАТО закликали не порушувати тему членства України в Альянсі — Telegraph,https://hromadske.ua/svit/224899-zelenskoho-pered-samitom-nato-zaklykaly-ne-porushuvaty-temu-chlenstva-ukrayiny-v-aliansi-telegraph,2024-05-29 00:16:00+03:00,"['НАТО', 'Вашингтон', 'саміт', 'вступ до НАТО']",Ярослав Герасименко
